Index,Raw,Filtered
0,-0.306101356,-0.306101356
1,-0.31809976500000003,-0.3179810863748764
2,-0.343970977,-0.33153626997146374
3,-0.369538257,-0.34610275008771896
4,-0.38634916900000005,-0.3592162953289544
5,-0.403024697,-0.3722998840744637
6,-0.41087876600000006,-0.3832959182791628
7,-0.42921067700000004,-0.3960598798861156
8,-0.43785877400000006,-0.4075255957690677
9,-0.44055202300000007,-0.4165206858135541
10,-0.446001608,-0.424519697881348
11,-0.450639161,-0.4315923282225161
12,-0.450385846,-0.4366757563679658
13,-0.4487495650000001,-0.4399397065411088
14,-0.449763849,-0.4425946852213963
15,-0.44947661400000005,-0.44445422637637566
16,-0.45197274500000006,-0.44648560185150943
17,-0.452136313,-0.44801225702279096
18,-0.449203131,-0.4483339880568008
19,-0.4679520300000001,-0.45363400320404784
20,-0.477445884,-0.4600669819568486
21,-0.48316690500000004,-0.4663075961384124
22,-0.497602185,-0.4747620428246003
23,-0.504197405,-0.48271419833819984
24,-0.519194402,-0.4925695582876138
25,-0.526522848,-0.5017422535501074
26,-0.53021271,-0.5094337256143336
27,-0.542249669,-0.5182991574276363
28,-0.55123859,-0.5271979502120011
29,-0.5661144100000001,-0.5377114738569039
30,-0.5723010000000001,-0.5470560493470417
31,-0.5921539,-0.5592395139380635
32,-0.5998123000000001,-0.5702005041711926
33,-0.6132182,-0.5818220019454794
34,-0.61898925,-0.5918629648974238
35,-0.6255049300000001,-0.6009515507551632
36,-0.6336093,-0.6097742445823545
37,-0.62829936,-0.6147789195889626
38,-0.6233468,-0.6170935857047974
39,-0.6225338,-0.6185632933906337
40,-0.6227343000000001,-0.619690116735942
41,-0.6418319,-0.6256718570267287
42,-0.65596855,-0.6338566968326884
43,-0.67590284,-0.6452157235946283
